Alabama,, Average Temperature,
201407,Mississippi,77.5,-3.8
201408,Mississippi,79.8,-1.1
201409,Mississippi,76.5,-0.2
201410,Mississippi,66.5,0.9
201411,Mississippi,48.8,-5.1
201412,Mississippi,50.2,1
201501,Mississippi,43.8,-1.5
201502,Mississippi,41.9,-8.1
201503,Mississippi,57.7,1
201504,Mississippi,67,2.6
201505,Mississippi,72.3,0.1
201506,Mississippi,79.2,-0.3
201507,Mississippi,82.8,1.5
201508,Mississippi,80.1,-0.8
201509,Mississippi,76.3,-0.4
201510,Mississippi,66.5,0.9
201511,Mississippi,59.2,5.3
201512,Mississippi,56.7,7.5
201601,Mississippi,43.7,-1.6
201602,Mississippi,50.9,0.9
201603,Mississippi,60.2,3.5
201604,Mississippi,65.2,0.8
201605,Mississippi,70.5,-1.7
201606,Mississippi,80.2,0.7
201607,Mississippi,82.4,1.1
201608,Mississippi,82,1.1
201609,Mississippi,79,2.3
201610,Mississippi,69.2,3.6
201611,Mississippi,58.2,4.3
201612,Mississippi,49.4,0.2
201701,Mississippi,52.9,7.6
201702,Mississippi,57.1,7.1
201703,Mississippi,60.1,3.4
201704,Mississippi,67.3,2.9
201705,Mississippi,70.1,-2.1
201706,Mississippi,76.7,-2.8
201707,Mississippi,81.2,-0.1
201708,Mississippi,79.3,-1.6
201709,Mississippi,74.5,-2.2
201710,Mississippi,66.2,0.6
201711,Mississippi,56.8,2.9
201712,Mississippi,47.1,-2.1
201801,Mississippi,40.1,-5.2
201802,Mississippi,56.9,6.9
201803,Mississippi,57.1,0.4
201804,Mississippi,58.9,-5.5
201805,Mississippi,75.8,3.6
201806,Mississippi,80.6,1.1
201807,Mississippi,81.8,0.5
201808,Mississippi,80.3,-0.6
201809,Mississippi,78.9,2.2
201810,Mississippi,67.4,1.8
201811,Mississippi,50.5,-3.4
201812,Mississippi,49,-0.2
201901,Mississippi,46.3,1
201902,Mississippi,55,5
201903,Mississippi,54.7,-2
201904,Mississippi,63.1,-1.3
201905,Mississippi,74.3,2.1
201906,Mississippi,78.3,-1.2
201907,Mississippi,80.8,-0.5
201908,Mississippi,81.4,0.5
201909,Mississippi,81.2,4.5
201910,Mississippi,66.6,1
201911,Mississippi,50.3,-3.6
201912,Mississippi,50.7,1.5
202001,Mississippi,50.1,4.8
200001,Missouri,33,2.2
200002,Missouri,42.2,8.1
200003,Missouri,48.2,2.8
200004,Missouri,54.4,-1.8
200005,Missouri,67.2,1.8
200006,Missouri,71.2,-3.7
200007,Missouri,76.1,-2.2
200008,Missouri,79.5,3.7
200009,Missouri,69,-0.8
200010,Missouri,60.1,2.8
200011,Missouri,39.8,-4.5
200012,Missouri,21.1,-14.7
200101,Missouri,29.4,-1.4
200102,Missouri,34.3,0.2
200103,Missouri,40.1,-5.3
200104,Missouri,60.5,4.3
200105,Missouri,65.9,0.5
200106,Missouri,71.7,-3.2
200107,Missouri,78.9,0.6
200108,Missouri,77.2,1.4
200109,Missouri,66.3,-3.5
200110,Missouri,55.8,-1.5
200111,Missouri,51.1,6.8
200112,Missouri,38.5,2.7
200201,Missouri,35.1,4.3
200202,Missouri,37.3,3.2
200203,Missouri,40.5,-4.9
200204,Missouri,57.3,1.1
200205,Missouri,61.4,-4
200206,Missouri,74.7,-0.2
200207,Missouri,79,0.7
200208,Missouri,76.9,1.1
200209,Missouri,70.8,1
200210,Missouri,53.1,-4.2
200211,Missouri,42,-2.3
200212,Missouri,35.7,-0.1
200301,Missouri,27.4,-3.4
200302,Missouri,31.2,-2.9
200303,Missouri,44.6,-0.8
200304,Missouri,56.7,0.5
200305,Missouri,63.5,-1.9
200306,Missouri,69.2,-5.7
200307,Missouri,78.1,-0.2
200308,Missouri,78.8,3
200309,Missouri,64.8,-5
200310,Missouri,57.2,-0.1
200311,Missouri,46.3,2
200312,Missouri,36.2,0.4
200401,Missouri,29.8,-1
200402,Missouri,33.1,-1
200403,Missouri,48.3,2.9
200404,Missouri,56.2,0
200405,Missouri,67,1.6
200406,Missouri,70.8,-4.1
200407,Missouri,74.3,-4
200408,Missouri,70.7,-5.1
200409,Missouri,68.5,-1.3
200410,Missouri,58.4,1.1
200411,Missouri,47.8,3.5
200412,Missouri,34.7,-1.1
200501,Missouri,33.3,2.5
200502,Missouri,40.1,6
200503,Missouri,43.4,-2
200504,Missouri,56.8,0.6
200505,Missouri,63.2,-2.2
200506,Missouri,75.2,0.3
200507,Missouri,78,-0.3
200508,Missouri,77.8,2
200509,Missouri,72,2.2
200510,Missouri,56.9,-0.4
200511,Missouri,47.3,3
200512,Missouri,30.8,-5
200601,Missouri,41.2,10.4
200602,Missouri,34.2,0.1
200603,Missouri,45.9,0.5
200604,Missouri,60.9,4.7
200605,Missouri,64.6,-0.8
200606,Missouri,73.5,-1.4
200607,Missouri,78.9,0.6
200608,Missouri,78.4,2.6
200609,Missouri,64.9,-4.9
200610,Missouri,53.8,-3.5
200611,Missouri,46.5,2.2
200612,Missouri,38.2,2.4
200701,Missouri,31.7,0.9
200702,Missouri,29.4,-4.7
200703,Missouri,53,7.6
200704,Missouri,52.3,-3.9
200705,Missouri,68.3,2.9
200706,Missouri,73.4,-1.5
200707,Missouri,75.9,-2.4
200708,Missouri,81.3,5.5
200709,Missouri,70.5,0.7
200710,Missouri,60,2.7
200711,Missouri,45.2,0.9
200712,Missouri,33.2,-2.6
200801,Missouri,30.8,0
200802,Missouri,31,-3.1
200803,Missouri,43.2,-2.2
200804,Missouri,52.2,-4
200805,Missouri,62.4,-3
200806,Missouri,73.5,-1.4
200807,Missouri,76.6,-1.7
200808,Missouri,73.9,-1.9
200809,Missouri,67.2,-2.6
200810,Missouri,55.7,-1.6
200811,Missouri,43.7,-0.6
200812,Missouri,31,-4.8
200901,Missouri,27.7,-3.1
200902,Missouri,38.4,4.3
200903,Missouri,46.5,1.1
200904,Missouri,53.4,-2.8
200905,Missouri,63.8,-1.6
200906,Missouri,74.6,-0.3
200907,Missouri,72.8,-5.5
200908,Missouri,72.6,-3.2
200909,Missouri,66.6,-3.2
200910,Missouri,50.9,-6.4
200911,Missouri,49.8,5.5
200912,Missouri,30.6,-5.2
201001,Missouri,25.5,-5.3
201002,Missouri,28.4,-5.7
201003,Missouri,45,-0.4
201004,Missouri,60.5,4.3
201005,Missouri,64.5,-0.9
201006,Missouri,77.3,2.4
201007,Missouri,79.1,0.8
201008,Missouri,79,3.2
201009,Missouri,68.8,-1
201010,Missouri,58.3,1
201011,Missouri,46.5,2.2
201012,Missouri,29.6,-6.2
201101,Missouri,26.7,-4.1
201102,Missouri,33.2,-0.9
201103,Missouri,45.1,-0.3
201104,Missouri,56.8,0.6
201105,Missouri,62.8,-2.6
201106,Missouri,75.8,0.9
201107,Missouri,82.7,4.4
201108,Missouri,77.8,2
201109,Missouri,64.8,-5
201110,Missouri,57.2,-0.1
201111,Missouri,47.4,3.1
201112,Missouri,37.4,1.6
201201,Missouri,36.3,5.5
201202,Missouri,39.9,5.8
201203,Missouri,58.1,12.7
201204,Missouri,59,2.8
201205,Missouri,69.5,4.1
201206,Missouri,74.8,-0.1
201207,Missouri,83.6,5.3
201208,Missouri,76.2,0.4
201209,Missouri,67,-2.8
201210,Missouri,54.3,-3
201211,Missouri,45.1,0.8
201212,Missouri,38.8,3
201301,Missouri,33.8,3
201302,Missouri,34.4,0.3
201303,Missouri,38.3,-7.1
201304,Missouri,52.1,-4.1
201305,Missouri,63.4,-2
201306,Missouri,73,-1.9
201307,Missouri,75,-3.3
201308,Missouri,74.6,-1.2
201309,Missouri,70.7,0.9
201310,Missouri,55.9,-1.4
201311,Missouri,41.8,-2.5
201312,Missouri,30.3,-5.5
201401,Missouri,25.8,-5
201402,Missouri,26.5,-7.6
201403,Missouri,39.5,-5.9
201404,Missouri,55.1,-1.1
201405,Missouri,65.3,-0.1
201406,Missouri,73.7,-1.2
201407,Missouri,72.6,-5.7
201408,Missouri,76.6,0.8
201409,Missouri,67.1,-2.7
201410,Missouri,57.8,0.5
201411,Missouri,37.8,-6.5
201412,Missouri,36.7,0.9
201501,Missouri,31.2,0.4
201502,Missouri,26.2,-7.9
201503,Missouri,44.5,-0.9
201504,Missouri,57.7,1.5
201505,Missouri,64.8,-0.6
201506,Missouri,74.3,-0.6
201507,Missouri,77.4,-0.9
201508,Missouri,73.4,-2.4
201509,Missouri,71.6,1.8
201510,Missouri,57.7,0.4
201511,Missouri,48.9,4.6
201512,Missouri,42.4,6.6
201601,Missouri,30.9,0.1
201602,Missouri,39.1,5
201603,Missouri,50.4,5
201604,Missouri,57.3,1.1
201605,Missouri,62.7,-2.7
201606,Missouri,76.9,2
201607,Missouri,78.1,-0.2
201608,Missouri,76.7,0.9
201609,Missouri,71.7,1.9
201610,Missouri,62.1,4.8
201611,Missouri,51,6.7
201612,Missouri,32.4,-3.4
201701,Missouri,35.4,4.6
201702,Missouri,45.1,11
201703,Missouri,48.4,3
201704,Missouri,58.5,2.3
201705,Missouri,64.1,-1.3
201706,Missouri,73.5,-1.4
201707,Missouri,78.8,0.5
201708,Missouri,72.1,-3.7
201709,Missouri,70.4,0.6
201710,Missouri,59,1.7
201711,Missouri,46.2,1.9
201712,Missouri,34.3,-1.5
201801,Missouri,28,-2.8
201802,Missouri,35.6,1.5
201803,Missouri,44,-1.4
201804,Missouri,48.2,-8
201805,Missouri,72.5,7.1
201806,Missouri,77.4,2.5
201807,Missouri,78.2,-0.1
201808,Missouri,76.4,0.6
201809,Missouri,71.3,1.5
201810,Missouri,56.4,-0.9
201811,Missouri,37.6,-6.7
201812,Missouri,36.8,1
201901,Missouri,31,0.2
201902,Missouri,33,-1.1
201903,Missouri,40.9,-4.5
201904,Missouri,56.7,0.5
201905,Missouri,64.5,-0.9
201906,Missouri,72.4,-2.5
201907,Missouri,77.6,-0.7
201908,Missouri,75.3,-0.5
201909,Missouri,74.8,5
201910,Missouri,54.3,-3
201911,Missouri,40.2,-4.1
201912,Missouri,39,3.2
202001,Missouri,34.5,3.7
200001,Montana,22.1,-0.1
200002,Montana,26.9,6.2
200003,Montana,35.5,2.5
200004,Montana,43.2,2
200005,Montana,51.5,1.3
200006,Montana,58,-1.4
200007,Montana,68.4,1.2
200008,Montana,66.8,1.3
200009,Montana,54.4,-1.6
200010,Montana,43.5,0
200011,Montana,22.1,-8.3
200012,Montana,15.8,-6
200101,Montana,24.6,2.4
200102,Montana,16.5,-4.2
200103,Montana,33.8,0.8
200104,Montana,41.1,-0.1
200105,Montana,53.3,3.1
200106,Montana,58.4,-1
200107,Montana,67.1,-0.1
200108,Montana,68.9,3.4
200109,Montana,58.7,2.7
200110,Montana,42.7,-0.8
200111,Montana,36.3,5.9
200112,Montana,22.4,0.6
200201,Montana,22.7,0.5
200202,Montana,26.4,5.7
200203,Montana,19.8,-13.2
200204,Montana,37.6,-3.6
200205,Montana,47.5,-2.7
200206,Montana,59.5,0.1
200207,Montana,69.6,2.4
200208,Montana,61.3,-4.2
200209,Montana,55.7,-0.3
200210,Montana,36.6,-6.9
200211,Montana,33.8,3.4
200212,Montana,26.8,5
200301,Montana,24.7,2.5
200302,Montana,21.4,0.7
200303,Montana,29.8,-3.2
200304,Montana,44.1,2.9
200305,Montana,50.1,-0.1
200306,Montana,58.4,-1
200307,Montana,70.3,3.1
200308,Montana,70,4.5
200309,Montana,54.6,-1.4
200310,Montana,47.5,4
200311,Montana,24,-6.4
200312,Montana,25.1,3.3
200401,Montana,17,-5.2
200402,Montana,24.1,3.4
200403,Montana,37.5,4.5
200404,Montana,44.3,3.1
200405,Montana,48.1,-2.1
200406,Montana,56.1,-3.3
200407,Montana,66.1,-1.1
200408,Montana,62.4,-3.1
200409,Montana,54.1,-1.9
200410,Montana,43.1,-0.4
200411,Montana,33.6,3.2
200412,Montana,27.4,5.6
200501,Montana,18.1,-4.1
200502,Montana,28.9,8.2
200503,Montana,34.6,1.6
200504,Montana,42.7,1.5
200505,Montana,49,-1.2
200506,Montana,57.7,-1.7
200507,Montana,67.6,0.4
200508,Montana,63.9,-1.6
200509,Montana,55.4,-0.6
200510,Montana,45.1,1.6
200511,Montana,33.2,2.8
200512,Montana,20.5,-1.3
200601,Montana,31.4,9.2
200602,Montana,23.4,2.7
200603,Montana,30.6,-2.4
200604,Montana,44.9,3.7
200605,Montana,52.9,2.7
200606,Montana,61.6,2.2
200607,Montana,71.2,4
200608,Montana,65.5,0
200609,Montana,54.8,-1.2
200610,Montana,40.4,-3.1
200611,Montana,30.3,-0.1
200612,Montana,25.5,3.7
200701,Montana,21.8,-0.4
200702,Montana,22,1.3
200703,Montana,38.9,5.9
200704,Montana,40.9,-0.3
200705,Montana,52.1,1.9
200706,Montana,60.7,1.3
200707,Montana,73.3,6.1
200708,Montana,65.8,0.3
200709,Montana,55,-1
200710,Montana,44.6,1.1
200711,Montana,31.6,1.2
200712,Montana,21.6,-0.2
200801,Montana,18.1,-4.1
200802,Montana,24.2,3.5
200803,Montana,31.2,-1.8
200804,Montana,37.6,-3.6
200805,Montana,49.6,-0.6
200806,Montana,56.7,-2.7
200807,Montana,66.5,-0.7
200808,Montana,65.6,0.1
200809,Montana,53.6,-2.4
200810,Montana,43.7,0.2
200811,Montana,35.8,5.4
200812,Montana,14,-7.8
200901,Montana,21.1,-1.1
200902,Montana,25.1,4.4
200903,Montana,28.3,-4.7
200904,Montana,39.8,-1.4
200905,Montana,50.5,0.3
200906,Montana,56.6,-2.8
200907,Montana,64.6,-2.6
200908,Montana,63.4,-2.1
200909,Montana,60.7,4.7
200910,Montana,36.4,-7.1
200911,Montana,35.2,4.8
200912,Montana,12,-9.8
201001,Montana,20.6,-1.6
201002,Montana,21.1,0.4
201003,Montana,36.2,3.2
201004,Montana,41.6,0.4
201005,Montana,46.3,-3.9
201006,Montana,57.5,-1.9
201007,Montana,64.3,-2.9
201008,Montana,63.8,-1.7
201009,Montana,54.1,-1.9
201010,Montana,47.6,4.1
201011,Montana,26.6,-3.8
201012,Montana,19,-2.8
201101,Montana,19.1,-3.1
201102,Montana,16.4,-4.3
201103,Montana,28.6,-4.4
201104,Montana,37.7,-3.5
201105,Montana,47.1,-3.1
201106,Montana,56.3,-3.1
201107,Montana,66.6,-0.6
201108,Montana,66.8,1.3
201109,Montana,58.3,2.3
201110,Montana,45.9,2.4
201111,Montana,30,-0.4
201112,Montana,26.2,4.4
201201,Montana,25.1,2.9
201202,Montana,24.9,4.2
201203,Montana,39.4,6.4
201204,Montana,44.8,3.6
201205,Montana,49.5,-0.7
201206,Montana,60.2,0.8
201207,Montana,70.7,3.5
201208,Montana,66.7,1.2
201209,Montana,58.2,2.2
201210,Montana,41,-2.5
201211,Montana,32.4,2
201212,Montana,21.5,-0.3
201301,Montana,21.7,-0.5
201302,Montana,27.4,6.7
201303,Montana,30.5,-2.5
201304,Montana,36.9,-4.3
201305,Montana,51.9,1.7
201306,Montana,59,-0.4
201307,Montana,67.5,0.3
201308,Montana,67.3,1.8
201309,Montana,58.8,2.8
201310,Montana,40.8,-2.7
201311,Montana,30.4,0
201312,Montana,16.4,-5.4
201401,Montana,24.5,2.3
201402,Montana,14.7,-6
201403,Montana,29.4,-3.6
201404,Montana,41,-0.2
201405,Montana,51.1,0.9
201406,Montana,56.5,-2.9
201407,Montana,67.6,0.4
201408,Montana,64.8,-0.7
201409,Montana,55.1,-0.9
201410,Montana,47.9,4.4
201411,Montana,25.3,-5.1
201412,Montana,25,3.2
201501,Montana,24.7,2.5
201502,Montana,26.9,6.2
201503,Montana,39.5,6.5
201504,Montana,42.8,1.6
201505,Montana,49.6,-0.6
201506,Montana,63.8,4.4
201507,Montana,66.2,-1
201508,Montana,65.9,0.4
201509,Montana,57.3,1.3
201510,Montana,48,4.5
201511,Montana,30,-0.4
201512,Montana,23.6,1.8
201601,Montana,23.4,1.2
201602,Montana,33.6,12.9
201603,Montana,37.4,4.4
201604,Montana,45,3.8
201605,Montana,51,0.8
201606,Montana,62.4,3
201607,Montana,65.9,-1.3
201608,Montana,64.4,-1.1
201609,Montana,54.8,-1.2
201610,Montana,44.3,0.8
201611,Montana,39.1,8.7
201612,Montana,14.2,-7.6
201701,Montana,15.2,-7
201702,Montana,25.4,4.7
201703,Montana,35.8,2.8
201704,Montana,42.1,0.9
201705,Montana,52.3,2.1
201706,Montana,60.6,1.2
201707,Montana,71.6,4.4
201708,Montana,65.5,0
201709,Montana,55.2,-0.8
201710,Montana,42.6,-0.9
201711,Montana,30.7,0.3
201712,Montana,21.1,-0.7
201801,Montana,21.7,-0.5
201802,Montana,11.4,-9.3
201803,Montana,28.3,-4.7
201804,Montana,37.9,-3.3
201805,Montana,55.7,5.5
201806,Montana,59.2,-0.2
201807,Montana,66.8,-0.4
201808,Montana,64.5,-1
201809,Montana,53,-3
201810,Montana,41.6,-1.9
201811,Montana,30.2,-0.2
201812,Montana,25,3.2
201901,Montana,24.7,2.5
201902,Montana,5.1,-15.6
201903,Montana,25.2,-7.8
201904,Montana,41.9,0.7
201905,Montana,47.7,-2.5
201906,Montana,58.6,-0.8
201907,Montana,65,-2.2
201908,Montana,64.8,-0.7
201909,Montana,55,-1
201910,Montana,35.4,-8.1
201911,Montana,29.3,-1.1
201912,Montana,25.8,4
202001,Montana,23.4,1.2
200001,Nebraska,28.6,3.3
200002,Nebraska,35,8.8
200003,Nebraska,41.9,2.2
200004,Nebraska,48.7,0.3
200005,Nebraska,61.6,3.7
200006,Nebraska,67.6,-2.6
200007,Nebraska,75.2,0.3
200008,Nebraska,76.4,4.2
200009,Nebraska,64.5,-0.7
200010,Nebraska,52.7,1.8
200011,Nebraska,28.2,-9.4
200012,Nebraska,18.7,-8.5
200101,Nebraska,27.5,2.2
200102,Nebraska,22,-4.2
200103,Nebraska,35.8,-3.9
200104,Nebraska,50.6,2.2
200105,Nebraska,59.8,1.9
200106,Nebraska,68.5,-1.7
200107,Nebraska,77.1,2.2
200108,Nebraska,73.9,1.7
200109,Nebraska,63.6,-1.6
200110,Nebraska,51,0.1
200111,Nebraska,43.9,6.3
200112,Nebraska,30.3,3.1
200201,Nebraska,29.5,4.2
200202,Nebraska,31.8,5.6
200203,Nebraska,30.1,-9.6
200204,Nebraska,49.9,1.5
200205,Nebraska,56,-1.9
200206,Nebraska,73.9,3.7
200207,Nebraska,78.3,3.4
200208,Nebraska,73,0.8
200209,Nebraska,64.3,-0.9
200210,Nebraska,44.4,-6.5
200211,Nebraska,37.1,-0.5
200212,Nebraska,31.8,4.6
200301,Nebraska,26.9,1.6
200302,Nebraska,25,-1.2
200303,Nebraska,38.7,-1
200304,Nebraska,50.5,2.1
200305,Nebraska,57.4,-0.5
200306,Nebraska,66.1,-4.1
200307,Nebraska,76.4,1.5
200308,Nebraska,75.5,3.3
200309,Nebraska,61.1,-4.1
200310,Nebraska,54.6,3.7
200311,Nebraska,34.7,-2.9
200312,Nebraska,30.5,3.3
200401,Nebraska,24,-1.3
200402,Nebraska,26.3,0.1
200403,Nebraska,43.1,3.4
200404,Nebraska,50.5,2.1
200405,Nebraska,60.4,2.5
200406,Nebraska,65.2,-5
200407,Nebraska,71.7,-3.2
200408,Nebraska,68.5,-3.7
200409,Nebraska,66.2,1
200410,Nebraska,52.3,1.4
200411,Nebraska,38.7,1.1
200412,Nebraska,30.8,3.6
200501,Nebraska,23.1,-2.2
200502,Nebraska,34.4,8.2
200503,Nebraska,39.4,-0.3
200504,Nebraska,49.7,1.3
200505,Nebraska,57.8,-0.1
200506,Nebraska,70,-0.2
200507,Nebraska,75.9,1
200508,Nebraska,72.6,0.4
200509,Nebraska,67.5,2.3
200510,Nebraska,51.9,1
200511,Nebraska,41.1,3.5
200512,Nebraska,25,-2.2
200601,Nebraska,37.1,11.8
200602,Nebraska,28.1,1.9
200603,Nebraska,36.8,-2.9
200604,Nebraska,53.3,4.9
200605,Nebraska,61.2,3.3
200606,Nebraska,71.8,1.6
200607,Nebraska,77.5,2.6
200608,Nebraska,72.9,0.7
200609,Nebraska,58.8,-6.4
200610,Nebraska,48,-2.9
200611,Nebraska,37.6,0
200612,Nebraska,30.2,3
200701,Nebraska,21.6,-3.7
200702,Nebraska,23.1,-3.1
200703,Nebraska,45.6,5.9
200704,Nebraska,46.4,-2
200705,Nebraska,62.1,4.2
200706,Nebraska,69.2,-1
200707,Nebraska,76.1,1.2
200708,Nebraska,75.6,3.4
200709,Nebraska,64.7,-0.5
200710,Nebraska,53.6,2.7
200711,Nebraska,39.5,1.9
200712,Nebraska,22,-5.2
200801,Nebraska,21.3,-4
200802,Nebraska,26.2,0
200803,Nebraska,37.4,-2.3
200804,Nebraska,44.6,-3.8
200805,Nebraska,56.3,-1.6
200806,Nebraska,67.5,-2.7
200807,Nebraska,75,0.1
200808,Nebraska,71.4,-0.8
200809,Nebraska,62.2,-3
200810,Nebraska,50.2,-0.7
200811,Nebraska,38.9,1.3
200812,Nebraska,21.3,-5.9
200901,Nebraska,25.5,0.2
200902,Nebraska,31.8,5.6
200903,Nebraska,37.4,-2.3
200904,Nebraska,46.1,-2.3
200905,Nebraska,59.1,1.2
200906,Nebraska,66.8,-3.4
200907,Nebraska,70.2,-4.7
200908,Nebraska,69.4,-2.8
200909,Nebraska,61.8,-3.4
200910,Nebraska,42.3,-8.6
200911,Nebraska,42.2,4.6
200912,Nebraska,18.6,-8.6
201001,Nebraska,22.1,-3.2
201002,Nebraska,23,-3.2
201003,Nebraska,39.7,0
201004,Nebraska,51.7,3.3
201005,Nebraska,56.3,-1.6
201006,Nebraska,69.6,-0.6
201007,Nebraska,74.5,-0.4
201008,Nebraska,74.8,2.6
201009,Nebraska,63.6,-1.6
201010,Nebraska,54,3.1
201011,Nebraska,36.7,-0.9
201012,Nebraska,26.1,-1.1
201101,Nebraska,20.4,-4.9
201102,Nebraska,24.5,-1.7
201103,Nebraska,37.1,-2.6
201104,Nebraska,47.5,-0.9
201105,Nebraska,56,-1.9
201106,Nebraska,68.2,-2
201107,Nebraska,77.7,2.8
201108,Nebraska,73.9,1.7
201109,Nebraska,60.6,-4.6
201110,Nebraska,52.7,1.8
201111,Nebraska,38.2,0.6
201112,Nebraska,28.6,1.4
201201,Nebraska,30.4,5.1
201202,Nebraska,29.3,3.1
201203,Nebraska,50.8,11.1
201204,Nebraska,53.5,5.1
201205,Nebraska,62.3,4.4
201206,Nebraska,73.4,3.2
201207,Nebraska,80,5.1
201208,Nebraska,73,0.8
201209,Nebraska,64.1,-1.1
201210,Nebraska,48.2,-2.7
201211,Nebraska,40,2.4
201212,Nebraska,27.6,0.4
201301,Nebraska,25.5,0.2
201302,Nebraska,28.8,2.6
201303,Nebraska,34.8,-4.9
201304,Nebraska,42.5,-5.9
201305,Nebraska,58.5,0.6
201306,Nebraska,68.8,-1.4
201307,Nebraska,73.2,-1.7
201308,Nebraska,73.8,1.6
201309,Nebraska,68,2.8
201310,Nebraska,48.8,-2.1
201311,Nebraska,36,-1.6
201312,Nebraska,22.8,-4.4
201401,Nebraska,25.4,0.1
201402,Nebraska,20.8,-5.4
201403,Nebraska,35.4,-4.3
201404,Nebraska,48.3,-0.1
201405,Nebraska,58.5,0.6
201406,Nebraska,68.1,-2.1
201407,Nebraska,71.2,-3.7
201408,Nebraska,72.2,0
201409,Nebraska,62.9,-2.3
201410,Nebraska,53.2,2.3
201411,Nebraska,32.2,-5.4
201412,Nebraska,28,0.8
201501,Nebraska,27.2,1.9
201502,Nebraska,26.1,-0.1
201503,Nebraska,42.9,3.2
201504,Nebraska,50.5,2.1
201505,Nebraska,56.2,-1.7
201506,Nebraska,69.8,-0.4
201507,Nebraska,73.4,-1.5
201508,Nebraska,70.9,-1.3
201509,Nebraska,68.6,3.4
201510,Nebraska,54.3,3.4
201511,Nebraska,40.1,2.5
201512,Nebraska,29.7,2.5
201601,Nebraska,26,0.7
201602,Nebraska,35,8.8
201603,Nebraska,43.9,4.2
201604,Nebraska,49.9,1.5
201605,Nebraska,57.2,-0.7
201606,Nebraska,73.3,3.1
201607,Nebraska,74.2,-0.7
201608,Nebraska,71.8,-0.4
201609,Nebraska,65,-0.2
201610,Nebraska,55.4,4.5
201611,Nebraska,44.3,6.7
201612,Nebraska,23.8,-3.4
201701,Nebraska,24.8,-0.5
201702,Nebraska,35.4,9.2
201703,Nebraska,42.2,2.5
201704,Nebraska,49.7,1.3
201705,Nebraska,57,-0.9
201706,Nebraska,70.7,0.5
201707,Nebraska,76.8,1.9
201708,Nebraska,69,-3.2
201709,Nebraska,65,-0.2
201710,Nebraska,51,0.1
201711,Nebraska,39.9,2.3
201712,Nebraska,26.6,-0.6
201801,Nebraska,23,-2.3
201802,Nebraska,21.7,-4.5
201803,Nebraska,38.5,-1.2
201804,Nebraska,41.2,-7.2
201805,Nebraska,63.8,5.9
201806,Nebraska,72.2,2
201807,Nebraska,73.4,-1.5
201808,Nebraska,70.8,-1.4
201809,Nebraska,65.7,0.5
201810,Nebraska,47.2,-3.7
201811,Nebraska,33.5,-4.1
201812,Nebraska,28.1,0.9
201901,Nebraska,26.4,1.1
201902,Nebraska,17.2,-9
201903,Nebraska,31.7,-8
201904,Nebraska,49.2,0.8
201905,Nebraska,53.5,-4.4
201906,Nebraska,68,-2.2
201907,Nebraska,74.5,-0.4
201908,Nebraska,71.5,-0.7
201909,Nebraska,68.3,3.1
201910,Nebraska,44.2,-6.7
201911,Nebraska,35.2,-2.4
201912,Nebraska,30.2,3
202001,Nebraska,27.2,1.9
200001,Nevada,35,1.4
200002,Nevada,38.3,2.5
200003,Nevada,41,-1.8
200004,Nevada,51.5,3.4
200005,Nevada,58.6,3.7
200006,Nevada,68.1,1.1
200007,Nevada,72.4,-1.9
200008,Nevada,72.3,0.1
200009,Nevada,62.2,-1.8
200010,Nevada,50,-1.8
200011,Nevada,33.8,-6.8
200012,Nevada,34.6,2.3
200101,Nevada,29.7,-3.9
200102,Nevada,32,-3.8
200103,Nevada,43.8,1
200104,Nevada,45.7,-2.4
200105,Nevada,61.8,6.9
200106,Nevada,67.1,0.1
200107,Nevada,72,-2.3
200108,Nevada,74.2,2
200109,Nevada,65.5,1.5
200110,Nevada,54.7,2.9
200111,Nevada,41.6,1
200112,Nevada,30.6,-1.7
200201,Nevada,30.8,-2.8
200202,Nevada,35.2,-0.6
200203,Nevada,38.2,-4.6
200204,Nevada,49.5,1.4
200205,Nevada,55.7,0.8
200206,Nevada,67.6,0.6
200207,Nevada,76.3,2
200208,Nevada,70.3,-1.9
200209,Nevada,63.2,-0.8
200210,Nevada,49.1,-2.7
200211,Nevada,40.2,-0.4
200212,Nevada,33.5,1.2
200301,Nevada,40.7,7.1
200302,Nevada,34.1,-1.7
200303,Nevada,42.7,-0.1
200304,Nevada,44.2,-3.9
200305,Nevada,57,2.1
200306,Nevada,67.8,0.8
200307,Nevada,77,2.7
200308,Nevada,72.4,0.2
200309,Nevada,64.8,0.8
200310,Nevada,57,5.2
200311,Nevada,35.9,-4.7
200312,Nevada,33.3,1
200401,Nevada,30.4,-3.2
200402,Nevada,32.3,-3.5
200403,Nevada,47.9,5.1
200404,Nevada,49.4,1.3
200405,Nevada,56.8,1.9
200406,Nevada,67,0
200407,Nevada,73.8,-0.5
200408,Nevada,70.1,-2.1
200409,Nevada,61.5,-2.5
200410,Nevada,49.5,-2.3
200411,Nevada,37.8,-2.8
200412,Nevada,33.5,1.2
200501,Nevada,32.4,-1.2
200502,Nevada,35.4,-0.4
200503,Nevada,41.5,-1.3
200504,Nevada,45.8,-2.3
200505,Nevada,56.3,1.4
200506,Nevada,61.5,-5.5
200507,Nevada,75.9,1.6
200508,Nevada,71.4,-0.8
200509,Nevada,60.1,-3.9
200510,Nevada,51.7,-0.1
200511,Nevada,42.1,1.5
200512,Nevada,33.9,1.6
200601,Nevada,34.1,0.5
200602,Nevada,35.2,-0.6
200603,Nevada,35.8,-7
